"","smoke","name","region","A_median","B_median","R_median","v_median","A_sd","B_sd","R_sd","v_sd","A_length","B_length","R_length","v_length","sample"
"1","smoke","KO373","LL",0.964422177741,0.462238167794,21.3502296036,0.111825556151,0.00252407606449433,0.018131651911854,1.78824327041233,0.00332952155701254,321,321,321,321,"KO373_LL_smoke"
"2","smoke","WT256","LL",0.951731467818,0.441996791878,16.4808671497,0.117299067014,0.00471619867244346,0.0219009702737308,1.57586973040661,0.00311698625560318,229,229,229,229,"WT256_LL_smoke"
"3","smoke","WT353","LL",0.9599384389775,0.4885432323465,17.71001381895,0.112464903046,0.00278096132853355,0.0195496813555654,1.41006953827938,0.00255709637381255,212,212,212,212,"WT353_LL_smoke"
