diameter,density
0.332681017612524,0.000212739062162916
0.665362035225049,0.00023543839586884
0.998043052837573,0.00025976623211942
1.3307240704501,0.000285894677336906
1.66340508806262,0.000313987694146949
1.99608610567515,0.000344106451479389
2.32876712328767,0.000376481298795096
2.6614481409002,0.000411372565473592
2.99412915851272,0.000448987867059409
3.32681017612524,0.00048957186708442
3.65949119373777,0.000533424539695033
3.99217221135029,0.000580889280202159
4.32485322896282,0.000632228995193986
4.65753424657534,0.000687877742343681
4.99021526418787,0.000748156435293497
5.32289628180039,0.000813347066117393
5.65557729941292,0.000883847950773842
5.98825831702544,0.000959977767190405
6.32093933463796,0.00104197721841358
6.65362035225049,0.00113018703987418
6.98630136986301,0.0012248614609999
7.31898238747554,0.00132605492324019
7.65166340508806,0.00143397100688642
7.98434442270059,0.00154863017631802
8.31702544031311,0.00167000484560454
8.64970645792564,0.00179804167805131
8.98238747553816,0.00193259344284539
9.31506849315068,0.00207343581172833
9.64774951076321,0.00222029579587822
9.98043052837573,0.00237276196002379
10.3131115459883,0.00253052032811299
10.6457925636008,0.00269297369675711
10.9784735812133,0.00285965491703979
11.3111545988258,0.00302993312182653
11.6438356164384,0.00320325189504926
11.9765166340509,0.00337900860169341
12.3091976516634,0.00355643824989516
12.6418786692759,0.00373493251545162
12.9745596868885,0.00391378104250879
13.307240704501,0.00409242719873472
13.6399217221135,0.00427011648811574
13.972602739726,0.00444628685520199
14.3052837573386,0.00462029359420157
14.6379647749511,0.00479169471139952
14.9706457925636,0.00495986508010434
15.3033268101761,0.00512435344905034
15.6360078277886,0.00528478126816883
15.9686888454012,0.00544080330272695
16.3013698630137,0.00559214157230792
16.6340508806262,0.00573853374301173
16.9667318982387,0.00587970988484433
17.2994129158513,0.00601564035417681
17.6320939334638,0.00614617827209929
17.9647749510763,0.00627131820510041
18.2974559686888,0.006391018685218
18.6301369863014,0.00650543172135141
18.9628180039139,0.00661458880224813
19.2954990215264,0.00671862026351751
19.6281800391389,0.00681768318832889
19.9608610567515,0.00691207642947756
20.293542074364,0.00700194231885048
20.6262230919765,0.00708749871068952
20.958904109589,0.00716906312489316
21.2915851272016,0.00724685196968593
21.6242661448141,0.00732119045581281
21.9569471624266,0.00739232283631773
22.2896281800391,0.00746057188422668
22.6223091976517,0.0075262148313284
22.9549902152642,0.00758953553926067
23.2876712328767,0.0076509453961228
23.6203522504892,0.00771057033417923
23.9530332681018,0.00776873633895276
24.2857142857143,0.00782573164533273
24.6183953033268,0.00788174375341643
24.9510763209393,0.00793704127452537
25.2837573385519,0.00799195792726581
25.6164383561644,0.0080465527649226
25.9491193737769,0.0081010214476435
26.2818003913894,0.00815567169462992
26.614481409002,0.00821057782261103
26.9471624266145,0.0082658623202594
27.279843444227,0.00832166998759072
27.6125244618395,0.00837817332671838
27.9452054794521,0.00843536943503892
28.2778864970646,0.00849343047417791
28.6105675146771,0.00855235106344555
28.9432485322896,0.00861220158378504
29.2759295499022,0.00867316268805968
29.6086105675147,0.0087351213872135
29.9412915851272,0.00879817275853483
30.2739726027397,0.00886238207999697
30.6066536203522,0.00892778438331624
30.9393346379648,0.00899437840563256
31.2720156555773,0.00906215290470794
31.6046966731898,0.00913115175083051
31.9373776908023,0.00920146404776892
32.2700587084149,0.00927305523695727
32.6027397260274,0.00934589694359277
32.9354207436399,0.00942010908321433
33.2681017612524,0.00949570632439854
33.600782778865,0.00957263042981581
33.9334637964775,0.00965086911422038
34.26614481409,0.00973045077589919
34.5988258317025,0.0098114253331833
34.9315068493151,0.00989364952501122
35.2641878669276,0.00997713352773359
35.5968688845401,0.010061832161725
35.9295499021526,0.0101476801284208
36.2622309197652,0.0102346353879418
36.5949119373777,0.0103225822246276
36.9275929549902,0.0104113904635601
37.2602739726027,0.0105010031593676
37.5929549902153,0.01059127850517
37.9256360078278,0.0106820859891106
38.2583170254403,0.010773246276459
38.5909980430528,0.0108647419384119
38.9236790606654,0.0109563036106164
39.2563600782779,0.0110478558341586
39.5890410958904,0.0111393725401577
39.9217221135029,0.0112306369077042
40.2544031311155,0.0113215626065681
40.587084148728,0.0114120454736781
40.9197651663405,0.0115020745618195
41.252446183953,0.0115914544436507
41.5851272015656,0.0116802835702969
41.9178082191781,0.0117683703321276
42.2504892367906,0.0118558586021607
42.5831702544031,0.0119426184613629
42.9158512720157,0.0120286935053833
43.2485322896282,0.0121140140440946
43.5812133072407,0.0121985924772533
43.9138943248532,0.0122824563152868
44.2465753424658,0.0123654084598522
44.5792563600783,0.0124475259310877
44.9119373776908,0.012528706488554
45.2446183953033,0.0126088943176387
45.5772994129158,0.0126878423884014
45.9099804305284,0.0127656505106721
46.2426614481409,0.0128420076898814
46.5753424657534,0.0129168804754971
46.9080234833659,0.012989905664932
47.2407045009785,0.0130610167676455
47.573385518591,0.0131299422279239
47.9060665362035,0.0131965123180426
48.238747553816,0.0132604151739322
48.5714285714286,0.0133214479998449
48.9041095890411,0.0133794337278944
49.2367906066536,0.0134342396075484
49.5694716242661,0.0134854866823814
49.9021526418787,0.0135330904755021
50.2348336594912,0.0135768063420931
50.5675146771037,0.0136165516579579
50.9001956947162,0.0136520652741034
51.2328767123288,0.0136832952469198
51.5655577299413,0.0137100905040505
51.8982387475538,0.0137323648878422
52.2309197651663,0.0137499777527207
52.5636007827789,0.0137628877406859
52.8962818003914,0.013771060439694
53.2289628180039,0.0137743353936763
53.5616438356164,0.0137727980159652
53.894324853229,0.0137663053314794
54.2270058708415,0.0137549107282138
54.559686888454,0.0137385040387629
54.8923679060665,0.0137171244731233
